"city","host_id","total_listings_per_host","total_listings_per_city","market_share_per_host","hhi_calculation","hhi_index","host_rank","conc_ratio_1","conc_ratio_4","conc_ratio_10"
London,446820235,463,61173,0.7568698608863388,0.5728519863181059,2.5543567046625992,1,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,509948385,140,61173,0.22885913720105275,0.05237650468041029,2.5543567046625992,2,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,7701687,138,61173,0.22558972095532343,0.05089072220070069,2.5543567046625992,3,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,11515631,127,61173,0.20760793160381213,0.04310105326481314,2.5543567046625992,4,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,185324181,120,61173,0.1961649747437595,0.0384806973162198,2.5543567046625992,5,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,89355192,114,61173,0.18635672600657152,0.03472882932788837,2.5543567046625992,6,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,124359784,111,61173,0.18145260163797755,0.03292504664119057,2.5543567046625992,7,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,315820320,107,61173,0.17491376914651888,0.0305948266370417,2.5543567046625992,8,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,74167394,107,61173,0.17491376914651888,0.0305948266370417,2.5543567046625992,9,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,77453810,101,61173,0.1651055204093309,0.027259832869635986,2.5543567046625992,10,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,92967793,97,61173,0.15856668791787226,0.025143394517243896,2.5543567046625992,11,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,228928499,94,61173,0.15366256354927826,0.02361218343653598,2.5543567046625992,12,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,712085368,93,61173,0.15202785542641362,0.02311246882555452,2.5543567046625992,13,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,527114813,91,61173,0.1487584391806843,0.02212907322747335,2.5543567046625992,14,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,131418248,88,61173,0.1438543148120903,0.020694063890055982,2.5543567046625992,15,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,10961046,86,61173,0.14058489856636097,0.019764113704914002,2.5543567046625992,16,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,19826493,84,61173,0.13731548232063165,0.018855541684947703,2.5543567046625992,17,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,215357262,81,61173,0.13241135795203765,0.017532767714702645,2.5543567046625992,18,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,678046097,81,61173,0.13241135795203765,0.017532767714702645,2.5543567046625992,19,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,21083998,74,61173,0.12096840109198502,0.014633354062751363,2.5543567046625992,20,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,42653212,73,61173,0.11933369296912036,0.014240530277648286,2.5543567046625992,21,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,252303991,72,61173,0.1176989848462557,0.013853051033839128,2.5543567046625992,22,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,123745971,69,61173,0.11279486047766171,0.012722680550175173,2.5543567046625992,23,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,368520818,68,61173,0.11116015235479705,0.012356579471541692,2.5543567046625992,24,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,32056798,67,61173,0.10952544423193239,0.011995822934202132,2.5543567046625992,25,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,567537719,66,61173,0.10789073610906773,0.01164041093815649,2.5543567046625992,26,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,28820321,66,61173,0.10789073610906773,0.01164041093815649,2.5543567046625992,27,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,44201282,65,61173,0.10625602798620307,0.011290343483404769,2.5543567046625992,28,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,538103588,64,61173,0.1046213198633384,0.010945620569946968,2.5543567046625992,29,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,725051170,63,61173,0.10298661174047374,0.010606242197783085,2.5543567046625992,30,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,1689827692337519575,62,61173,0.10135190361760908,0.010272208366913121,2.5543567046625992,31,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,125651447,62,61173,0.10135190361760908,0.010272208366913121,2.5543567046625992,32,0.7568698608863388,1.4189266506465272,2.4978340117372047
London,146594021,62,61173,0.10135190361760908,0.010272208366913121,2.5543567046625992,33,0.7568698608863388,1.4189266506465272,2.4978340117372047
